Title,Date,Duration,Description,Notes,Exercise,"Exercise Note","Superset id",Weight,Reps,RIR/RPE,Distance,Time,"Set Type","RecordLevel: gold/silver/bronze","RecordType: 1RM / max_weight / volume / reps"
"Evening session","2026-03-29 19:33:12",01:55:18,,,"Full Squat",,,80.000,8,,,,NORMAL_SET,,
"Evening session","2026-03-29 19:33:12",01:55:18,,,"Full Squat",,,90.000,8,,,,NORMAL_SET,,
"Evening session","2026-03-29 19:33:12",01:55:18,,,"Full Squat",,,90.000,8,,,,NORMAL_SET,,
"Evening session","2026-03-29 19:33:12",01:55:18,,,"Lever Seated Leg Press",,,120.000,6,,,,NORMAL_SET,,
"Evening session","2026-03-29 19:33:12",01:55:18,,,"Lever Seated Leg Press",,,120.000,6,,,,NORMAL_SET,,
"Evening session","2026-03-29 19:33:12",01:55:18,,,"Lever Seated Leg Press",,,120.000,6,,,,NORMAL_SET,,
"Evening session","2026-03-29 19:33:12",01:55:18,,,"Cable One Arm Lateral Raise",,,7.000,8,,,,NORMAL_SET,,
"Evening session","2026-03-29 19:33:12",01:55:18,,,"Cable One Arm Lateral Raise",,,7.000,8,,,,NORMAL_SET,,
"Evening session","2026-03-29 19:33:12",01:55:18,,,"Cable One Arm Lateral Raise",,,7.000,8,,,,NORMAL_SET,,
"Evening session","2026-03-29 19:33:12",01:55:18,,,"Handstand Push-Up",,,0.000,3,,,,NORMAL_SET,,
"Evening session","2026-03-29 19:33:12",01:55:18,,,"Handstand Push-Up",,,0.000,3,,,,NORMAL_SET,,
"Evening session","2026-03-29 19:33:12",01:55:18,,,"Straight Leg Deadlift",,,80.000,8,,,,NORMAL_SET,1,1
"Evening session","2026-03-29 19:33:12",01:55:18,,,"Straight Leg Deadlift",,,80.000,8,,,,NORMAL_SET,,
"Evening session","2026-03-29 19:33:12",01:55:18,,,"Straight Leg Deadlift",,,80.000,8,,,,NORMAL_SET,,
"Evening session","2026-03-29 19:33:12",01:55:18,,,"Lever Seated Calf Press",,,79.000,8,,,,NORMAL_SET,,
"Evening session","2026-03-29 19:33:12",01:55:18,,,"Lever Seated Calf Press",,,100.000,10,,,,NORMAL_SET,"1,1,1,1","1,2,3,4"
"Evening session","2026-03-29 19:33:12",01:55:18,,,"Lever Seated Calf Press",,,100.000,10,,,,NORMAL_SET,"2,2,2,2","1,2,3,4"
"Evening session","2026-03-26 20:31:52",01:54:50,,,"Bench Press",,,90.000,6,,,,NORMAL_SET,,
"Evening session","2026-03-26 20:31:52",01:54:50,,,"Bench Press",,,80.000,6,,,,NORMAL_SET,,
"Evening session","2026-03-26 20:31:52",01:54:50,,,"Bench Press",,,80.000,6,,,,NORMAL_SET,,
"Evening session","2026-03-26 20:31:52",01:54:50,,,"Lever Seated Fly",,,100.000,8,,,,NORMAL_SET,,
"Evening session","2026-03-26 20:31:52",01:54:50,,,"Lever Seated Fly",,,100.000,8,,,,NORMAL_SET,,
"Evening session","2026-03-26 20:31:52",01:54:50,,,"Lever Seated Fly",,,100.000,8,,,,NORMAL_SET,,
"Evening session","2026-03-26 20:31:52",01:54:50,,,"Triceps Pushdown",,,41.000,6,,,,NORMAL_SET,,
"Evening session","2026-03-26 20:31:52",01:54:50,,,"Triceps Pushdown",,,36.000,8,,,,NORMAL_SET,,
"Evening session","2026-03-26 20:31:52",01:54:50,,,"Triceps Pushdown",,,36.000,8,,,,NORMAL_SET,,
"Evening session","2026-03-26 20:31:52",01:54:50,,,"Overhead Triceps Extension",,,25.000,8,,,,NORMAL_SET,"2,3,2","1,2,3"
"Evening session","2026-03-26 20:31:52",01:54:50,,,"Overhead Triceps Extension",,,25.000,8,,,,NORMAL_SET,"3,3","1,3"
"Evening session","2026-03-26 20:31:52",01:54:50,,,"Overhead Triceps Extension",,,25.000,8,,,,NORMAL_SET,,
"Evening session","2026-03-26 20:31:52",01:54:50,,,"Lever Chest Press",,,73.000,6,,,,NORMAL_SET,,
"Evening session","2026-03-26 20:31:52",01:54:50,,,"Lever Chest Press",,,73.000,6,,,,NORMAL_SET,,
"Evening session","2026-03-26 20:31:52",01:54:50,,,"Cable One Arm Tricep Pushdown",,,14.000,6,,,,NORMAL_SET,,
"Evening session","2026-03-26 20:31:52",01:54:50,,,"Cable One Arm Tricep Pushdown",,,14.000,8,,,,NORMAL_SET,,
"Evening session","2026-03-26 20:31:52",01:54:50,,,"Cable One Arm Tricep Pushdown",,,14.000,8,,,,NORMAL_SET,,
"Evening session","2026-03-26 20:31:52",01:54:50,,,"Cable Standing Reverse Grip Curl",,,20.000,8,,,,NORMAL_SET,,
"Evening session","2026-03-26 20:31:52",01:54:50,,,"Cable Standing Reverse Grip Curl",,,22.500,8,,,,NORMAL_SET,"1,1,1","1,2,3"
"Evening session","2026-03-26 20:31:52",01:54:50,,,"Cable Standing Reverse Grip Curl",,,20.000,8,,,,NORMAL_SET,,
"Evening session","2026-03-23 18:15:20",01:17:53,,,"Scapular Pull-Up",,,0.000,10,,,,NORMAL_SET,,
"Evening session","2026-03-23 18:15:20",01:17:53,,,"Scapular Pull-Up",,,0.000,10,,,,NORMAL_SET,,
"Evening session","2026-03-23 18:15:20",01:17:53,,,"Scapular Pull-Up",,,0.000,10,,,,NORMAL_SET,,
"Evening session","2026-03-23 18:15:20",01:17:53,,,"Concentration Curl",,,24.000,6,,,,NORMAL_SET,,
"Evening session","2026-03-23 18:15:20",01:17:53,,,"Concentration Curl",,,24.000,6,,,,NORMAL_SET,,
"Evening session","2026-03-23 18:15:20",01:17:53,,,"Concentration Curl",,,24.000,6,,,,NORMAL_SET,,
"Evening session","2026-03-23 18:15:20",01:17:53,,,"Lever Seated Row",,,60.000,8,,,,NORMAL_SET,,
"Evening session","2026-03-23 18:15:20",01:17:53,,,"Lever Seated Row",,,50.000,8,,,,NORMAL_SET,,
"Evening session","2026-03-23 18:15:20",01:17:53,,,"Lever Seated Row",,,73.000,8,,,,NORMAL_SET,,
"Evening session","2026-03-23 18:15:20",01:17:53,,,"Cable Hammer Curl",,,27.000,8,,,,NORMAL_SET,,
"Evening session","2026-03-23 18:15:20",01:17:53,,,"Cable Hammer Curl",,,27.000,8,,,,NORMAL_SET,,
"Evening session","2026-03-23 18:15:20",01:17:53,,,"Cable Hammer Curl",,,27.000,8,,,,NORMAL_SET,,
"Evening session","2026-03-23 18:15:20",01:17:53,,,"Cable Wide Neutral Grip PullDown",,,86.000,8,,,,NORMAL_SET,2,3
"Evening session","2026-03-23 18:15:20",01:17:53,,,"Cable Wide Neutral Grip PullDown",,,100.000,6,,,,NORMAL_SET,,
"Evening session","2026-03-23 18:15:20",01:17:53,,,"Cable Wide Neutral Grip PullDown",,,100.000,3,,,,NORMAL_SET,,
"Evening session","2026-03-23 18:15:20",01:17:53,,,"Lever Preacher Curl",,,60.000,8,,,,DROP_SET,,
"Evening session","2026-03-23 18:15:20",01:17:53,,,"Lever Preacher Curl",,,60.000,8,,,,NORMAL_SET,,
"Evening session","2026-03-23 18:15:20",01:17:53,,,"Lever Preacher Curl",,,60.000,8,,,,NORMAL_SET,,
"Evening session","2026-03-22 19:27:22",01:48:12,,,"Full Squat",,,80.000,8,,,,NORMAL_SET,,
"Evening session","2026-03-22 19:27:22",01:48:12,,,"Full Squat",,,100.000,8,,,,NORMAL_SET,,
"Evening session","2026-03-22 19:27:22",01:48:12,,,"Full Squat",,,90.000,6,,,,NORMAL_SET,,
"Evening session","2026-03-22 19:27:22",01:48:12,,,"Lever Seated Calf Press",,,79.000,8,,,,NORMAL_SET,"3,3,3,3","1,2,3,4"
"Evening session","2026-03-22 19:27:22",01:48:12,,,"Lever Seated Calf Press",,,79.000,8,,,,NORMAL_SET,,
"Evening session","2026-03-22 19:27:22",01:48:12,,,"Lever Lying Leg Curl",,,41.000,8,,,,NORMAL_SET,,
"Evening session","2026-03-22 19:27:22",01:48:12,,,"Lever Lying Leg Curl",,,41.000,8,,,,NORMAL_SET,,
"Evening session","2026-03-22 19:27:22",01:48:12,,,"Lever Seated Leg Press",,,141.000,6,,,,NORMAL_SET,,
"Evening session","2026-03-22 19:27:22",01:48:12,,,"Lever Seated Leg Press",,,141.000,6,,,,NORMAL_SET,,
